"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/01/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/02/2023","AQS","250010002","1","0.05","ppm","46","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/03/2023","AQS","250010002","1","0.055","ppm","51","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/04/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/05/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/06/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/07/2023","AQS","250010002","1","0.05","ppm","46","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/08/2023","AQS","250010002","1","0.052","ppm","48","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/09/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/10/2023","AQS","250010002","1","0.055","ppm","51","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/11/2023","AQS","250010002","1","0.061","ppm","71","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/12/2023","AQS","250010002","1","0.053","ppm","49","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/13/2023","AQS","250010002","1","0.082","ppm","140","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/14/2023","AQS","250010002","1","0.066","ppm","87","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/15/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/16/2023","AQS","250010002","1","0.035","ppm","32","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/17/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/18/2023","AQS","250010002","1","0.049","ppm","45","TRURO NATIONAL SEASHORE","15","88.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/19/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","14","82.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/20/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/21/2023","AQS","250010002","1","0.037","ppm","34","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/22/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"04/23/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
